Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Flyout,False,1,Top,1,0,0,,,,656302,594943,641313,676116,643217,680869,673357,664913,650391,667670,660162,643393,683734,669127,693049,671732,672820,681146,686676,669397,650391,667670,686676,669127,683734,676116,672820,680869,660162,681146,641313,669397,643217,643393,673357,671732,693049,664913
Strikeout,False,1,Top,2,0,1,,,,656302,594943,641313,676116,643217,680869,673357,664913,650391,667670,660162,643393,683734,669127,693049,671732,672820,681146,686676,669397,650391,667670,686676,669127,683734,676116,672820,680869,660162,681146,641313,669397,643217,643393,673357,671732,693049,664913
Groundout,False,1,Top,3,0,2,,,,656302,594943,641313,676116,643217,680869,673357,664913,650391,667670,660162,643393,683734,669127,693049,671732,672820,681146,686676,669397,650391,667670,686676,669127,683734,676116,672820,680869,660162,681146,641313,669397,643217,643393,673357,671732,693049,664913
Single,False,1,Bot,4,0,0,,,,656302,594943,641313,676116,643217,680869,673357,664913,650391,667670,660162,643393,683734,669127,693049,671732,672820,681146,686676,669397,650391,667670,686676,669127,683734,676116,672820,680869,660162,681146,641313,669397,643217,643393,673357,671732,693049,664913
Pop Out,False,1,Bot,5,0,0,,,641313,656302,594943,641313,676116,643217,680869,673357,664913,650391,667670,660162,643393,683734,669127,693049,671732,672820,681146,686676,669397,650391,667670,686676,669127,683734,676116,672820,680869,660162,681146,641313,669397,643217,643393,673357,671732,693049,664913
Walk,False,1,Bot,6,0,1,,,641313,656302,594943,641313,676116,643217,680869,673357,664913,650391,667670,660162,643393,683734,669127,693049,671732,672820,681146,686676,669397,650391,667670,686676,669127,683734,676116,672820,680869,660162,681146,641313,669397,643217,643393,673357,671732,693049,664913
Lineout,False,1,Bot,7,0,1,,641313,673357,656302,594943,641313,676116,643217,680869,673357,664913,650391,667670,660162,643393,683734,669127,693049,671732,672820,681146,686676,669397,650391,667670,686676,669127,683734,676116,672820,680869,660162,681146,641313,669397,643217,643393,673357,671732,693049,664913
Caught Stealing 2B,True,1,Bot,8,0,2,641313,,673357,656302,594943,641313,676116,643217,680869,673357,664913,650391,667670,660162,643393,683734,669127,693049,671732,672820,681146,686676,669397,650391,667670,686676,669127,683734,676116,672820,680869,660162,681146,641313,669397,643217,643393,673357,671732,693049,664913
Walk,False,2,Top,9,0,0,,,,656302,594943,641313,676116,643217,680869,673357,664913,650391,667670,660162,643393,683734,669127,693049,671732,672820,681146,686676,669397,650391,667670,686676,669127,683734,676116,672820,680869,660162,681146,641313,669397,643217,643393,673357,671732,693049,664913
Single,False,2,Top,10,0,0,,,667670,656302,594943,641313,676116,643217,680869,673357,664913,650391,667670,660162,643393,683734,669127,693049,671732,672820,681146,686676,669397,650391,667670,686676,669127,683734,676116,672820,680869,660162,681146,641313,669397,643217,643393,673357,671732,693049,664913
