Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Single,False,1,Top,1,0,0,,,,519242,668881,657077,621028,646240,680574,457759,663697,807799,668715,680776,663886,571771,656413,671213,669222,657136,676480,665839,592200,457759,663886,657136,592200,671213,668715,665839,663697,646240,621028,571771,680574,807799,669222,680776,676480,657077,656413
Strikeout,False,1,Top,2,0,0,,,621028,519242,668881,657077,621028,646240,680574,457759,663697,807799,668715,680776,663886,571771,656413,671213,669222,657136,676480,665839,592200,457759,663886,657136,592200,671213,668715,665839,663697,646240,621028,571771,680574,807799,669222,680776,676480,657077,656413
Strikeout,False,1,Top,3,0,1,,,621028,519242,668881,657077,621028,646240,680574,457759,663697,807799,668715,680776,663886,571771,656413,671213,669222,657136,676480,665839,592200,457759,663886,657136,592200,671213,668715,665839,663697,646240,621028,571771,680574,807799,669222,680776,676480,657077,656413
Strikeout,False,1,Top,4,0,2,,,621028,519242,668881,657077,621028,646240,680574,457759,663697,807799,668715,680776,663886,571771,656413,671213,669222,657136,676480,665839,592200,457759,663886,657136,592200,671213,668715,665839,663697,646240,621028,571771,680574,807799,669222,680776,676480,657077,656413
Strikeout,False,1,Bot,5,0,0,,,,519242,668881,657077,621028,646240,680574,457759,663697,807799,668715,680776,663886,571771,656413,671213,669222,657136,676480,665839,592200,457759,663886,657136,592200,671213,668715,665839,663697,646240,621028,571771,680574,807799,669222,680776,676480,657077,656413
Strikeout,False,1,Bot,6,0,1,,,,519242,668881,657077,621028,646240,680574,457759,663697,807799,668715,680776,663886,571771,656413,671213,669222,657136,676480,665839,592200,457759,663886,657136,592200,671213,668715,665839,663697,646240,621028,571771,680574,807799,669222,680776,676480,657077,656413
Strikeout,False,1,Bot,7,0,2,,,,519242,668881,657077,621028,646240,680574,457759,663697,807799,668715,680776,663886,571771,656413,671213,669222,657136,676480,665839,592200,457759,663886,657136,592200,671213,668715,665839,663697,646240,621028,571771,680574,807799,669222,680776,676480,657077,656413
Flyout,False,2,Top,8,0,0,,,,519242,668881,657077,621028,646240,680574,457759,663697,807799,668715,680776,663886,571771,656413,671213,669222,657136,676480,665839,592200,457759,663886,657136,592200,671213,668715,665839,663697,646240,621028,571771,680574,807799,669222,680776,676480,657077,656413
Strikeout,False,2,Top,9,0,1,,,,519242,668881,657077,621028,646240,680574,457759,663697,807799,668715,680776,663886,571771,656413,671213,669222,657136,676480,665839,592200,457759,663886,657136,592200,671213,668715,665839,663697,646240,621028,571771,680574,807799,669222,680776,676480,657077,656413
Strikeout,False,2,Top,10,0,2,,,,519242,668881,657077,621028,646240,680574,457759,663697,807799,668715,680776,663886,571771,656413,671213,669222,657136,676480,665839,592200,457759,663886,657136,592200,671213,668715,665839,663697,646240,621028,571771,680574,807799,669222,680776,676480,657077,656413
