Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Walk,False,1,Top,1,0,0,,,,622491,691587,641487,650333,677594,624585,664034,650559,606192,643265,672284,660821,553993,516416,663728,663743,645801,542932,676609,641505,645801,624585,663728,663743,664034,643265,676609,650333,553993,516416,641487,542932,672284,650559,677594,641505,606192,660821
Walk,False,1,Top,2,0,0,,,650333,622491,691587,641487,650333,677594,624585,664034,650559,606192,643265,672284,660821,553993,516416,663728,663743,645801,542932,676609,641505,645801,624585,663728,663743,664034,643265,676609,650333,553993,516416,641487,542932,672284,650559,677594,641505,606192,660821
Strikeout,False,1,Top,3,0,0,,650333,624585,622491,691587,641487,650333,677594,624585,664034,650559,606192,643265,672284,660821,553993,516416,663728,663743,645801,542932,676609,641505,645801,624585,663728,663743,664034,643265,676609,650333,553993,516416,641487,542932,672284,650559,677594,641505,606192,660821
Strikeout,False,1,Top,4,0,1,,650333,624585,622491,691587,641487,650333,677594,624585,664034,650559,606192,643265,672284,660821,553993,516416,663728,663743,645801,542932,676609,641505,645801,624585,663728,663743,664034,643265,676609,650333,553993,516416,641487,542932,672284,650559,677594,641505,606192,660821
Groundout,False,1,Top,5,0,2,,650333,624585,622491,691587,641487,650333,677594,624585,664034,650559,606192,643265,672284,660821,553993,516416,663728,663743,645801,542932,676609,641505,645801,624585,663728,663743,664034,643265,676609,650333,553993,516416,641487,542932,672284,650559,677594,641505,606192,660821
Walk,False,1,Bot,6,0,0,,,,622491,691587,641487,650333,677594,624585,664034,650559,606192,643265,672284,660821,553993,516416,663728,663743,645801,542932,676609,641505,645801,624585,663728,663743,664034,643265,676609,650333,553993,516416,641487,542932,672284,650559,677594,641505,606192,660821
Pop Out,False,1,Bot,7,0,0,,,641487,622491,691587,641487,650333,677594,624585,664034,650559,606192,643265,672284,660821,553993,516416,663728,663743,645801,542932,676609,641505,645801,624585,663728,663743,664034,643265,676609,650333,553993,516416,641487,542932,672284,650559,677594,641505,606192,660821
Strikeout,False,1,Bot,8,0,1,,,641487,622491,691587,641487,650333,677594,624585,664034,650559,606192,643265,672284,660821,553993,516416,663728,663743,645801,542932,676609,641505,645801,624585,663728,663743,664034,643265,676609,650333,553993,516416,641487,542932,672284,650559,677594,641505,606192,660821
Flyout,False,1,Bot,9,0,2,,,641487,622491,691587,641487,650333,677594,624585,664034,650559,606192,643265,672284,660821,553993,516416,663728,663743,645801,542932,676609,641505,645801,624585,663728,663743,664034,643265,676609,650333,553993,516416,641487,542932,672284,650559,677594,641505,606192,660821
Groundout,False,2,Top,10,0,0,,,,622491,691587,641487,650333,677594,624585,664034,650559,606192,643265,672284,660821,553993,516416,663728,663743,645801,542932,676609,641505,645801,624585,663728,663743,664034,643265,676609,650333,553993,516416,641487,542932,672284,650559,677594,641505,606192,660821
Strikeout,False,2,Top,11,0,1,,,,622491,691587,641487,650333,677594,624585,664034,650559,606192,643265,672284,660821,553993,516416,663728,663743,645801,542932,676609,641505,645801,624585,663728,663743,664034,643265,676609,650333,553993,516416,641487,542932,672284,650559,677594,641505,606192,660821
Groundout,False,2,Top,12,0,2,,,,622491,691587,641487,650333,677594,624585,664034,650559,606192,643265,672284,660821,553993,516416,663728,663743,645801,542932,676609,641505,645801,624585,663728,663743,664034,643265,676609,650333,553993,516416,641487,542932,672284,650559,677594,641505,606192,660821
Strikeout,False,2,Bot,13,0,0,,,,622491,691587,641487,650333,677594,624585,664034,650559,606192,643265,672284,660821,553993,516416,663728,663743,645801,542932,676609,641505,645801,624585,663728,663743,664034,643265,676609,650333,553993,516416,641487,542932,672284,650559,677594,641505,606192,660821
Flyout,False,2,Bot,14,0,1,,,,622491,691587,641487,650333,677594,624585,664034,650559,606192,643265,672284,660821,553993,516416,663728,663743,645801,542932,676609,641505,645801,624585,663728,663743,664034,643265,676609,650333,553993,516416,641487,542932,672284,650559,677594,641505,606192,660821
Strikeout,False,2,Bot,15,0,2,,,,622491,691587,641487,650333,677594,624585,664034,650559,606192,643265,672284,660821,553993,516416,663728,663743,645801,542932,676609,641505,645801,624585,663728,663743,664034,643265,676609,650333,553993,516416,641487,542932,672284,650559,677594,641505,606192,660821
