Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Single,False,1,Top,1,0,0,,,,676664,669456,643393,680757,607054,642708,649557,608070,664913,660757,542583,647304,657656,672356,676116,665926,542208,572287,665923,664702,542583,647304,542208,572287,676116,672356,643393,665926,607054,608070,649557,642708,664913,680757,665923,664702,657656,660757
Flyout,False,1,Top,2,0,0,,,680757,676664,669456,643393,680757,607054,642708,649557,608070,664913,660757,542583,647304,657656,672356,676116,665926,542208,572287,665923,664702,542583,647304,542208,572287,676116,672356,643393,665926,607054,608070,649557,642708,664913,680757,665923,664702,657656,660757
Flyout,False,1,Top,3,0,1,,,680757,676664,669456,643393,680757,607054,642708,649557,608070,664913,660757,542583,647304,657656,672356,676116,665926,542208,572287,665923,664702,542583,647304,542208,572287,676116,672356,643393,665926,607054,608070,649557,642708,664913,680757,665923,664702,657656,660757
Strikeout,False,1,Top,4,0,2,,,680757,676664,669456,643393,680757,607054,642708,649557,608070,664913,660757,542583,647304,657656,672356,676116,665926,542208,572287,665923,664702,542583,647304,542208,572287,676116,672356,643393,665926,607054,608070,649557,642708,664913,680757,665923,664702,657656,660757
Groundout,False,1,Bot,5,0,0,,,,676664,669456,643393,680757,607054,642708,649557,608070,664913,660757,542583,647304,657656,672356,676116,665926,542208,572287,665923,664702,542583,647304,542208,572287,676116,672356,643393,665926,607054,608070,649557,642708,664913,680757,665923,664702,657656,660757
Strikeout,False,1,Bot,6,0,1,,,,676664,669456,643393,680757,607054,642708,649557,608070,664913,660757,542583,647304,657656,672356,676116,665926,542208,572287,665923,664702,542583,647304,542208,572287,676116,672356,643393,665926,607054,608070,649557,642708,664913,680757,665923,664702,657656,660757
Lineout,False,1,Bot,7,0,2,,,,676664,669456,643393,680757,607054,642708,649557,608070,664913,660757,542583,647304,657656,672356,676116,665926,542208,572287,665923,664702,542583,647304,542208,572287,676116,672356,643393,665926,607054,608070,649557,642708,664913,680757,665923,664702,657656,660757
Pop Out,False,2,Top,8,0,0,,,,676664,669456,643393,680757,607054,642708,649557,608070,664913,660757,542583,647304,657656,672356,676116,665926,542208,572287,665923,664702,542583,647304,542208,572287,676116,672356,643393,665926,607054,608070,649557,642708,664913,680757,665923,664702,657656,660757
Strikeout,False,2,Top,9,0,1,,,,676664,669456,643393,680757,607054,642708,649557,608070,664913,660757,542583,647304,657656,672356,676116,665926,542208,572287,665923,664702,542583,647304,542208,572287,676116,672356,643393,665926,607054,608070,649557,642708,664913,680757,665923,664702,657656,660757
Single,False,2,Top,10,0,2,,,,676664,669456,643393,680757,607054,642708,649557,608070,664913,660757,542583,647304,657656,672356,676116,665926,542208,572287,665923,664702,542583,647304,542208,572287,676116,672356,643393,665926,607054,608070,649557,642708,664913,680757,665923,664702,657656,660757
