Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Strikeout,False,1,Top,1,0,0,,,,670241,592791,660670,643565,645277,663538,663586,664023,621566,641355,542303,673548,671739,621020,669221,600869,592696,543228,606115,670156,542303,643565,669221,543228,621566,600869,645277,663538,663586,670156,606115,621020,592696,664023,671739,641355,660670,673548
Lineout,False,1,Top,2,0,1,,,,670241,592791,660670,643565,645277,663538,663586,664023,621566,641355,542303,673548,671739,621020,669221,600869,592696,543228,606115,670156,542303,643565,669221,543228,621566,600869,645277,663538,663586,670156,606115,621020,592696,664023,671739,641355,660670,673548
Flyout,False,1,Top,3,0,2,,,,670241,592791,660670,643565,645277,663538,663586,664023,621566,641355,542303,673548,671739,621020,669221,600869,592696,543228,606115,670156,542303,643565,669221,543228,621566,600869,645277,663538,663586,670156,606115,621020,592696,664023,671739,641355,660670,673548
Flyout,False,1,Bot,4,0,0,,,,670241,592791,660670,643565,645277,663538,663586,664023,621566,641355,542303,673548,671739,621020,669221,600869,592696,543228,606115,670156,542303,643565,669221,543228,621566,600869,645277,663538,663586,670156,606115,621020,592696,664023,671739,641355,660670,673548
Home Run,False,1,Bot,5,0,1,,,,670241,592791,660670,643565,645277,663538,663586,664023,621566,641355,542303,673548,671739,621020,669221,600869,592696,543228,606115,670156,542303,643565,669221,543228,621566,600869,645277,663538,663586,670156,606115,621020,592696,664023,671739,641355,660670,673548
Groundout,False,1,Bot,6,1,1,,,,670241,592791,660670,643565,645277,663538,663586,664023,621566,641355,542303,673548,671739,621020,669221,600869,592696,543228,606115,670156,542303,643565,669221,543228,621566,600869,645277,663538,663586,670156,606115,621020,592696,664023,671739,641355,660670,673548
Strikeout,False,1,Bot,7,1,2,,,,670241,592791,660670,643565,645277,663538,663586,664023,621566,641355,542303,673548,671739,621020,669221,600869,592696,543228,606115,670156,542303,643565,669221,543228,621566,600869,645277,663538,663586,670156,606115,621020,592696,664023,671739,641355,660670,673548
Single,False,2,Top,8,1,0,,,,670241,592791,660670,643565,645277,663538,663586,664023,621566,641355,542303,673548,671739,621020,669221,600869,592696,543228,606115,670156,542303,643565,669221,543228,621566,600869,645277,663538,663586,670156,606115,621020,592696,664023,671739,641355,660670,673548
Walk,False,2,Top,9,1,0,,,641355,670241,592791,660670,643565,645277,663538,663586,664023,621566,641355,542303,673548,671739,621020,669221,600869,592696,543228,606115,670156,542303,643565,669221,543228,621566,600869,645277,663538,663586,670156,606115,621020,592696,664023,671739,641355,660670,673548
Flyout,False,2,Top,10,1,0,,641355,673548,670241,592791,660670,643565,645277,663538,663586,664023,621566,641355,542303,673548,671739,621020,669221,600869,592696,543228,606115,670156,542303,643565,669221,543228,621566,600869,645277,663538,663586,670156,606115,621020,592696,664023,671739,641355,660670,673548
