Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,Third_Base,Second_Base,First_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Away_Lineup_1,Home_Lineup_2,Away_Lineup_2,Home_Lineup_3,Away_Lineup_3,Home_Lineup_4,Away_Lineup_4,Home_Lineup_5,Away_Lineup_5,Home_Lineup_6,Away_Lineup_6,Home_Lineup_7,Away_Lineup_7,Home_Lineup_8,Away_Lineup_8,Home_Lineup_9,Away_Lineup_9,Home_DH,Away_DH,Home_C,Away_C,Home_1B,Away_1B,Home_2B,Away_2B,Home_3B,Away_3B,Home_SS,Away_SS,Home_LF,Away_LF,Home_CF,Away_CF,Home_RF,Away_RF
Flyout,False,1,Top,1,0,0,,,,656222,642547,650490,680911,677551,661388,664040,592885,668227,642715,623912,573131,666139,642133,670764,605119,622534,686894,642336,668930,623912,573131,642336,661388,650490,642133,664040,668930,670764,680911,677551,642715,668227,592885,622534,686894,666139,605119
Strikeout,False,1,Top,2,0,1,,,,656222,642547,650490,680911,677551,661388,664040,592885,668227,642715,623912,573131,666139,642133,670764,605119,622534,686894,642336,668930,623912,573131,642336,661388,650490,642133,664040,668930,670764,680911,677551,642715,668227,592885,622534,686894,666139,605119
Strikeout,False,1,Top,3,0,2,,,,656222,642547,650490,680911,677551,661388,664040,592885,668227,642715,623912,573131,666139,642133,670764,605119,622534,686894,642336,668930,623912,573131,642336,661388,650490,642133,664040,668930,670764,680911,677551,642715,668227,592885,622534,686894,666139,605119
Strikeout,False,1,Bot,4,0,0,,,,656222,642547,650490,680911,677551,661388,664040,592885,668227,642715,623912,573131,666139,642133,670764,605119,622534,686894,642336,668930,623912,573131,642336,661388,650490,642133,664040,668930,670764,680911,677551,642715,668227,592885,622534,686894,666139,605119
Flyout,False,1,Bot,5,0,1,,,,656222,642547,650490,680911,677551,661388,664040,592885,668227,642715,623912,573131,666139,642133,670764,605119,622534,686894,642336,668930,623912,573131,642336,661388,650490,642133,664040,668930,670764,680911,677551,642715,668227,592885,622534,686894,666139,605119
Flyout,False,1,Bot,6,0,2,,,,656222,642547,650490,680911,677551,661388,664040,592885,668227,642715,623912,573131,666139,642133,670764,605119,622534,686894,642336,668930,623912,573131,642336,661388,650490,642133,664040,668930,670764,680911,677551,642715,668227,592885,622534,686894,666139,605119
Home Run,False,2,Top,7,0,0,,,,656222,642547,650490,680911,677551,661388,664040,592885,668227,642715,623912,573131,666139,642133,670764,605119,622534,686894,642336,668930,623912,573131,642336,661388,650490,642133,664040,668930,670764,680911,677551,642715,668227,592885,622534,686894,666139,605119
Groundout,False,2,Top,8,-1,0,,,,656222,642547,650490,680911,677551,661388,664040,592885,668227,642715,623912,573131,666139,642133,670764,605119,622534,686894,642336,668930,623912,573131,642336,661388,650490,642133,664040,668930,670764,680911,677551,642715,668227,592885,622534,686894,666139,605119
Walk,False,2,Top,9,-1,1,,,,656222,642547,650490,680911,677551,661388,664040,592885,668227,642715,623912,573131,666139,642133,670764,605119,622534,686894,642336,668930,623912,573131,642336,661388,650490,642133,664040,668930,670764,680911,677551,642715,668227,592885,622534,686894,666139,605119
Walk,False,2,Top,10,-1,1,,,642133,656222,642547,650490,680911,677551,661388,664040,592885,668227,642715,623912,573131,666139,642133,670764,605119,622534,686894,642336,668930,623912,573131,642336,661388,650490,642133,664040,668930,670764,680911,677551,642715,668227,592885,622534,686894,666139,605119
